;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Бюджетно-аналитический це...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;840,000;22 212,32;;;;;840,000;22 212,32
Бюджетно-аналитический центр;;;;;;;;;840,000;22 212,32;;;;;840,000;22 212,32
1;17740      ;;;Бумага  писчая А-4;;;шт;246,87;17,000;4 196,79;;;;;17,000;4 196,79
2;02639      ;;;Клей  карандаш;;;шт;43,59;3,000;130,77;;;;;3,000;130,77
3;29704      ;;;Корректирующая жидкость;;;шт;26,89;2,000;53,78;;;;;2,000;53,78
4;10322      ;;;Кресло офисное;;;шт;6 467,58;1,000;6 467,58;;;;;1,000;6 467,58
5;25963      ;;;Лента клейкая ;;;шт;91,03;1,000;91,03;;;;;1,000;91,03
6;17961      ;;;Лента скотч 15мм (33м);;;рул;16,61;2,000;33,22;;;;;2,000;33,22
7;26914      ;;;Мышь Logitech;;;шт;493,33;1,000;493,33;;;;;1,000;493,33
8;33955      ;;;Накопитель твердотельный SSD 2.5 Sata-3;;;шт;2 386,47;1,000;2 386,47;;;;;1,000;2 386,47
9;34855      ;;;Память оперативная DIMM DDR4;;;шт;1 745,76;2,000;3 491,52;;;;;2,000;3 491,52
10;14195      ;;;Скотч;;;шт;43,88;5,000;219,40;;;;;5,000;219,40
11;17677      ;;;Сумка  для ноутбука;;;шт;937,28;1,000;937,28;;;;;1,000;937,28
12;11037      ;;;Шпагат;;;шт;218,1;1,000;218,10;;;;;1,000;218,10
13;17741      ;;;Этикетка самоклейка;;;шт;4,35;803,000;3 493,05;;;;;803,000;3 493,05
Итого;;;;;;;;;840,000;22 212,32;;;;;840,000;22 212,32
