;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел бухгалтерского и на...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;4704,93;680921,78;;;;;4704,93;680921,78
Бухгалтерия  ;;;;;;;;;3306,83;561354,51;;;;;3306,83;561354,51
1;7535;;;Авансовый отчет;;;шт;0,82;500;410;;;;;500;410
2;30908;;;Батарейка;;;упак;188,05;1;188,05;;;;;1;188,05
3;4890;;;Батарейка;;;шт;89,47;2;178,94;;;;;2;178,94
4;2521;;;Бланк  ;;;шт;0,67;500;335;;;;;500;335
5;26778;;;Бланк  "Личная карточка учета спецодежды";;;шт;2,8;406;1136,8;;;;;406;1136,8
6;5299;;;Бланк "Приходный кассовый ордер";;;шт;0,96;943;905,28;;;;;943;905,28
7;2526;;;Блок  бумаги д/записи;;;шт;66,87;3;200,61;;;;;3;200,61
8;2028;;;Блок бесперебойного питания;;;шт;1666,67;1;1666,67;;;;;1;1666,67
9;4484;;;Блок питания;;;шт;1332,93;2;2665,86;;;;;2;2665,86
10;31824;;;Блок самоклеящ-стикеры;;;шт;20,52;1;20,52;;;;;1;20,52
11;33123;;;Блок системный Pentium Core i3-8100 3.6 Ггц;;;шт;39305,71;2;78611,42;;;;;2;78611,42
12;32820;;;Блок системный на базе Gigabyte ;;;шт;32966,67;3;98900,01;;;;;3;98900,01
13;29600;;;Бумага  для кассовых аппаратов;;;шт;42;20;840;;;;;20;840
14;17740;;;Бумага  писчая А-4;;;шт;246,87;105;25921,35;;;;;105;25921,35
15;35351;;;Детектор банкнот Dors - 1000;;;шт;4165,83;1;4165,83;;;;;1;4165,83
16;4711;;;Диск жесткий;;;шт;5499,94;2;10999,88;;;;;2;10999,88
17;4612;;;Жалюзи;;;м2;611,85;4,83;2955,24;;;;;4,83;2955,24
18;23374;;;Закладки самоклеящ;;;шт;26,09;6;156,54;;;;;6;156,54
19;2869;;;Зеркало бытовое;;;шт;727;1;727;;;;;1;727
20;30959;;;Игла-крючок для станка (10 шт);;;шт;838,14;1;838,14;;;;;1;838,14
21;2620;;;Калькулятор;;;шт;412,19;1;412,19;;;;;1;412,19
22;29922;;;Карандаш чернографитный с ласт.;;;шт;10,31;8;82,48;;;;;8;82,48
23;2639;;;Клей  карандаш;;;шт;43,59;6;261,54;;;;;6;261,54
24;2476;;;Ключ;;;шт;115,03;1;115,03;;;;;1;115,03
25;31322;;;Компьютер "Регард" РДЦБ-000368;;;шт;16093,22;1;16093,22;;;;;1;16093,22
26;31321;;;Компьютер "Регард" РДЦБ-001318;;;шт;13635,59;1;13635,59;;;;;1;13635,59
27;31319;;;Компьютер "Регард" РДЦБ-001880;;;шт;13635,59;1;13635,59;;;;;1;13635,59
28;2240;;;Кондиционер;;;шт;;1;;;;;;1;
29;2666;;;Краска  штемпельная;;;шт;177,04;3;531,12;;;;;3;531,12
30;31238;;;Кресло оператора;;;шт;4215,81;5;21079,05;;;;;5;21079,05
31;10322;;;Кресло офисное;;;шт;6467,58;5;32337,9;;;;;5;32337,9
32;1612;;;Куртка  утепленная;;;шт;4802,06;1;4802,06;;;;;1;4802,06
33;2670;;;Ластик  резинка;;;шт;10,98;1;10,98;;;;;1;10,98
34;30922;;;Лента клейкая 48х66;;;шт;26,75;3;80,25;;;;;3;80,25
35;31895;;;Личная карточка учета спецодежды;;;шт;3,9;84;327,6;;;;;84;327,6
36;29768;;;Маркер перманентный;;;шт;34,11;4;136,44;;;;;4;136,44
37;34930;;;Микроволновая печь "Samsung" ;;;шт;9403,75;1;9403,75;;;;;1;9403,75
38;3430;;;Модуль  памяти;;;шт;14268,75;1;14268,75;;;;;1;14268,75
39;32821;;;Монитор LCD Philips;;;шт;5000;1;5000;;;;;1;5000
40;42484;;;Монитор MSI 23,8"PRO MP241X;;;шт;8033;1;8033;;;;;1;8033
41;23743;;;Мышь беспроводная;;;шт;895,31;3;2685,93;;;;;3;2685,93
42;34130;;;Накопитель SSD KINGSTON  2.5 SATA III;;;шт;2978,75;1;2978,75;;;;;1;2978,75
43;6559;;;Нить прошивная;;;шт;115,69;2;231,38;;;;;2;231,38
44;30540;;;Ноутбук  НР 15-bs 130ur черный;;;шт;22025,42;1;22025,42;;;;;1;22025,42
45;31096;;;Пакет фасовочный;;;рул;60,31;5;301,55;;;;;5;301,55
46;2742;;;Папка  скоросшиватель;;;шт;17,9;3;53,7;;;;;3;53,7
47;32479;;;Папка для бумаг с завязками;;;шт;13,32;90;1198,8;;;;;90;1198,8
48;21781;;;Папка-регистратор;;;шт;131,71;23;3029,33;;;;;23;3029,33
49;4694;;;Папка-уголок;;;шт;10,14;6;60,84;;;;;6;60,84
50;33728;;;Перчатки нитриловые;;;пар;6,26;135;845,1;;;;;135;845,1
51;2921;;;Печать;;;шт;231,26;4;925,04;;;;;4;925,04
52;42690;;;Печать на автоматической оснастке;;;шт;900;2;1800;;;;;2;1800
53;42827;;;Печать самонаборная;;;шт;874,17;1;874,17;;;;;1;874,17
54;32311;;;Принтер Kyocera P3050dn;;;шт;22090,28;1;22090,28;;;;;1;22090,28
55;13699;;;Радиатор-обогрев, масляный ;;;шт;3594,5;1;3594,5;;;;;1;3594,5
56;6134;;;Резинка банковская;;;упак;296,3;1;296,3;;;;;1;296,3
57;24121;;;Резинка для денег;;;пачка;91,94;1;91,94;;;;;1;91,94
58;33954;;;Роутер Wi-Fi ;;;шт;4550;1;4550;;;;;1;4550
59;35179;;;Рутокен СБИС;;;шт;1333,33;4;5333,32;;;;;4;5333,32
60;21190;;;Ручка гелевая;;;шт;19,73;1;19,73;;;;;1;19,73
61;19122;;;Ручка шариковая;;;шт;15,09;19;286,71;;;;;19;286,71
62;43237;;;Ручка шариковая настольная;;;шт;104,14;2;208,28;;;;;2;208,28
63;23445;;;Сейф ASM-46;;;шт;6691,53;1;6691,53;;;;;1;6691,53
64;2765;;;Скобы  к  степлеру  N10  ;;;пачка;18,66;15;279,9;;;;;15;279,9
65;2767;;;Скобы  к  степлеру  N24  ;;;пачка;24,18;15;362,7;;;;;15;362,7
66;33489;;;Скоросшиватель картонный;;;шт;16,43;50;821,5;;;;;50;821,5
67;32009;;;Скоросшиватель пластиковый;;;шт;14,27;3;42,81;;;;;3;42,81
68;14195;;;Скотч;;;шт;43,88;2;87,76;;;;;2;87,76
69;2768;;;Скрепки  канцелярские  28мм;;;пачка;24,73;10;247,3;;;;;10;247,3
