;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Компрессорный цех (Пустох...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;512,326;1 965 844,35;;;;;512,326;1 965 844,35
Компрессорный цех (Пустохин В.Г.);;;;;;;;;512,326;1 965 844,35;;;;;512,326;1 965 844,35
1;03193      ;;;Аммиак;;;т;22 390,27;10,000;223 902,70;;;;;10,000;223 902,70
2;17740      ;;;Бумага  писчая А-4;;;шт;246,87;1,000;246,87;;;;;1,000;246,87
3;03200      ;;;Бумага  туалетная;;;шт;8,96;20,000;179,20;;;;;20,000;179,20
4;02074      ;;;Верстак;;;шт;10 727,75;4,000;42 911,00;;;;;4,000;42 911,00
5;42592      ;;;Втулка насоса;;;шт;3 750;2,000;7 500,00;;;;;2,000;7 500,00
6;03209      ;;;Глицерин;;;т;106 392,58;7,306;777 304,19;;;;;7,306;777 304,19
7;17639      ;;;Дальномер;;;шт;10 957;1,000;10 957,00;;;;;1,000;10 957,00
8;24935      ;;;Дверь ;;;шт;5 851,72;1,000;5 851,72;;;;;1,000;5 851,72
9;02464      ;;;Домкрат;;;шт;1 001,75;1,000;1 001,75;;;;;1,000;1 001,75
10;16075      ;;;Жалюзи;;;шт;2 066,55;15,000;30 998,25;;;;;15,000;30 998,25
11;31890      ;;;Журнал ступенчатого контроля состояния охраны труда;;;шт;516;1,000;516,00;;;;;1,000;516,00
12;32399      ;;;Журнал суточный работы машинного отделения;;;шт;224,66;1,000;224,66;;;;;1,000;224,66
13;03232      ;;;Кальций  хлористый;;;кг;54,17;150,000;8 125,50;;;;;150,000;8 125,50
14;02472      ;;;Клепатель;;;шт;859,95;1,000;859,95;;;;;1,000;859,95
15;23746      ;;;Ключ трубный рычажный;;;шт;1 259,67;1,000;1 259,67;;;;;1,000;1 259,67
16;12427      ;;;Компл. прорезиненный Л-1;;;шт;2 729,71;2,000;5 459,42;;;;;2,000;5 459,42
17;34806      ;;;Комплект бумажных мешков-фильтр;;;шт;2 882,5;1,000;2 882,50;;;;;1,000;2 882,50
18;02517      ;;;Круг отрезной;;;шт;37,91;1,000;37,91;;;;;1,000;37,91
19;26333      ;;;Лента сигнальная;;;шт;409,93;1,000;409,93;;;;;1,000;409,93
20;04564      ;;;Линейка  ;;;шт;37;1,000;37,00;;;;;1,000;37,00
21;18390      ;;;Лопата  совковая;;;шт;204,82;1,000;204,82;;;;;1,000;204,82
22;02817      ;;;Лопата  штыковая;;;шт;176,84;2,000;353,68;;;;;2,000;353,68
23;06311      ;;;Манометр;;;шт;8 323,18;49,000;407 835,82;;;;;49,000;407 835,82
24;01616      ;;;Маска    панорамная ППМ-88;;;шт;731,76;13,000;9 512,88;;;;;13,000;9 512,88
25;42960      ;;;Машина углошлифовальная Макита;;;шт;4 545;1,000;4 545,00;;;;;1,000;4 545,00
26;02897      ;;;Метла;;;шт;224,49;1,000;224,49;;;;;1,000;224,49
27;07491      ;;;Мешок хозяйственный для мусора 60л;;;рул;45,1;2,000;90,20;;;;;2,000;90,20
28;02578      ;;;Молоток;;;шт;156,39;1,000;156,39;;;;;1,000;156,39
29;02583      ;;;Набор инструмента;;;шт;5 040,55;1,000;5 040,55;;;;;1,000;5 040,55
30;29608      ;;;Набор напильников;;;шт;1 600;1,000;1 600,00;;;;;1,000;1 600,00
31;02604      ;;;Набор сверл;;;шт;1 512,3;1,000;1 512,30;;;;;1,000;1 512,30
32;01617      ;;;Наушники;;;шт;6 229,35;2,000;12 458,70;;;;;2,000;12 458,70
33;02713      ;;;Ножницы  канцелярские ;;;шт;106,74;1,000;106,74;;;;;1,000;106,74
34;02915      ;;;Огнетушитель ОУ-20;;;шт;3 415;1,000;3 415,00;;;;;1,000;3 415,00
35;04391      ;;;Огнетушитель ОУ-3;;;шт;945,54;8,000;7 564,32;;;;;8,000;7 564,32
36;04469      ;;;Огнетушитель ОУ-5;;;шт;2 005,08;4,000;8 020,32;;;;;4,000;8 020,32
37;02629      ;;;Отвертка;;;шт;99,72;4,000;398,88;;;;;4,000;398,88
38;04473      ;;;Очки защитные;;;шт;125,01;1,000;125,01;;;;;1,000;125,01
39;04690      ;;;Пемолюкс;;;шт;63,49;2,000;126,98;;;;;2,000;126,98
40;04548      ;;;Подшипник 7317;;;шт;12 600;4,000;50 400,00;;;;;4,000;50 400,00
41;18968      ;;;Полка деревянная;;;шт;851,25;1,000;851,25;;;;;1,000;851,25
42;22378      ;;;Полотно ножовочное;;;шт;115,85;6,000;695,10;;;;;6,000;695,10
43;30047      ;;;Порошок стир. 400 гр.;;;шт;51,5;5,000;257,50;;;;;5,000;257,50
44;43244      ;;;Преобразователь измерительный АМ 2.0-ПК;;;шт;22 154;10,000;221 540,00;;;;;10,000;221 540,00
45;02943      ;;;Противогаз ППФ-95М;;;шт;896,7;4,000;3 586,80;;;;;4,000;3 586,80
46;42936      ;;;Ремень для триммера;;;шт;875;1,000;875,00;;;;;1,000;875,00
47;03328      ;;;Рукав  напорный  ф 18;;;м;97,69;50,000;4 884,50;;;;;50,000;4 884,50
48;03333      ;;;Рукав  пожарный Ф51;;;шт;183,88;5,000;919,40;;;;;5,000;919,40
49;03071      ;;;Светильник  переноска;;;шт;677,54;1,000;677,54;;;;;1,000;677,54
50;02823      ;;;Совок  для  мусора;;;шт;100,86;3,000;302,58;;;;;3,000;302,58
51;02967      ;;;Ствол пожарный РС-50;;;шт;143,6;4,000;574,40;;;;;4,000;574,40
52;10660      ;;;Стремянка;;;шт;9 775,06;1,000;9 775,06;;;;;1,000;9 775,06
53;28639      ;;;Сумка для противогаза ;;;шт;12,71;13,000;165,23;;;;;13,000;165,23
54;08672      ;;;Съемник;;;шт;605,48;1,000;605,48;;;;;1,000;605,48
55;11067      ;;;Таль цепная 2тн,;;;шт;6 370;1,000;6 370,00;;;;;1,000;6 370,00
56;10558      ;;;Трансформатор тока;;;шт;1 333,13;1,000;1 333,13;;;;;1,000;1 333,13
57;31348      ;;;Триммер электрический;;;шт;4 026,69;1,000;4 026,69;;;;;1,000;4 026,69
58;23757      ;;;Труба  ;;;м;290,11;7,020;2 036,57;;;;;7,020;2 036,57
59;29908      ;;;Уплотнение для насоса;;;шт;12 977,25;1,000;12 977,25;;;;;1,000;12 977,25
60;09002      ;;;Уплотнение торцевое;;;шт;2 480,9;1,000;2 480,90;;;;;1,000;2 480,90
61;43105      ;;;Фильтр ДОТ 460 марки К2;;;шт;1 093,33;15,000;16 399,95;;;;;15,000;16 399,95
62;43106      ;;;Фонарь осветительный ФОС-3;;;шт;4 605;1,000;4 605,00;;;;;1,000;4 605,00
63;31002      ;;;Химсредство  НАЛКО 3DT250;;;кг;661,44;50,000;33 072,00;;;;;50,000;33 072,00
64;42253      ;;;Чайник электрический GOODHELPER;;;шт;598,42;1,000;598,42;;;;;1,000;598,42
65;03003      ;;;Черенок для лопаты;;;шт;103,8;1,000;103,80;;;;;1,000;103,80
66;31337      ;;;Черенок для метлы;;;шт;32,68;2,000;65,36;;;;;2,000;65,36
67;30781      ;;;Швабра окномойка;;;шт;263,58;1,000;263,58;;;;;1,000;263,58
68;29410      ;;;Шпуля;;;шт;500;1,000;500,00;;;;;1,000;500,00
69;04554      ;;;Штангенциркуль 125 мм;;;шт;944,56;1,000;944,56;;;;;1,000;944,56
Итого;;;;;;;;;512,326;1 965 844,35;;;;;512,326;1 965 844,35
