;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел логистики (Лутовино...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;23,000;142 470,82;;;;;23,000;142 470,82
Отдел логистики (Лутовинова Н. Е.);;;;;;;;;23,000;142 470,82;;;;;23,000;142 470,82
1;33674      ;;;Блок системный АМ4 AMD Ryzen 3.6 Ггц;;;шт;39 800;1,000;39 800,00;;;;;1,000;39 800,00
2;03222      ;;;Доска  магнитно-маркерная;;;шт;4 492,09;1,000;4 492,09;;;;;1,000;4 492,09
3;31023      ;;;Картридж  лазерный HP;;;шт;2 248,58;4,000;8 994,32;;;;;4,000;8 994,32
4;34073      ;;;Клавиатура Oklick проводная ;;;шт;330;1,000;330,00;;;;;1,000;330,00
5;32686      ;;;Коммутатор Mikrotik;;;шт;6 858,21;1,000;6 858,21;;;;;1,000;6 858,21
6;10322      ;;;Кресло офисное;;;шт;6 467,58;1,000;6 467,58;;;;;1,000;6 467,58
7;02257      ;;;Кресло офисное;;;шт;13 179,17;1,000;13 179,17;;;;;1,000;13 179,17
8;21059      ;;;Маршрутизатор;;;шт;1 168,71;2,000;2 337,42;;;;;2,000;2 337,42
9;33125      ;;;Мышь Oklick 185М оптическая черная, USB ;;;шт;225,73;1,000;225,73;;;;;1,000;225,73
10;23743      ;;;Мышь беспроводная;;;шт;895,31;1,000;895,31;;;;;1,000;895,31
11;18988      ;;;Навигатор автомобильный;;;шт;3 590;1,000;3 590,00;;;;;1,000;3 590,00
12;31656      ;;;Накопитель SSD SATA;;;шт;5 315,02;2,000;10 630,04;;;;;2,000;10 630,04
13;31116      ;;;Память оперативная DDR4 SO DIMM 4Gb;;;шт;2 998,73;2,000;5 997,46;;;;;2,000;5 997,46
14;02309      ;;;Печать круглая;;;шт;629,34;1,000;629,34;;;;;1,000;629,34
15;31114      ;;;Принтер лазерный;;;шт;22 083,33;1,000;22 083,33;;;;;1,000;22 083,33
16;06357      ;;;Шкаф для документов;;;шт;7 980,41;2,000;15 960,82;;;;;2,000;15 960,82
Итого;;;;;;;;;23,000;142 470,82;;;;;23,000;142 470,82
