;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Служба маркетинга;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;8 339,442;1 423 132,66;202,000;4 182;;;8 541,442;1 427 314,66
Служба маркетинга;;;;;;;;;8 339,442;1 423 132,66;202,000;4 182;;;8 541,442;1 427 314,66
1;23244      ;;;Автохолодильник;;;шт;44 824,59;1,000;44 824,59;;;;;1,000;44 824,59
2;43154      ;;;Автохолодильник Alpicool T-36;;;шт;19 980;1,000;19 980,00;;;;;1,000;19 980,00
3;43091      ;;;Автохолодильник Libhof B-45H;;;шт;29 596,67;1,000;29 596,67;;;;;1,000;29 596,67
4;42831      ;;;Автохолодильник компрессорный Alpicool С50;;;шт;14 073,33;1,000;14 073,33;;;;;1,000;14 073,33
5;42882      ;;;Автохолодильник компрессорный Ледоход ЕТ-60;;;шт;17 501,67;1,000;17 501,67;;;;;1,000;17 501,67
6;42325      ;;;Автохолодильник компрессорный Т-50;;;шт;19 648;1,000;19 648,00;;;;;1,000;19 648,00
7;10641      ;;;Антистеплер;;;шт;36,44;2,000;72,88;;;;;2,000;72,88
8;01595      ;;;Бейсболка;;;шт;160,41;20,000;3 208,20;;;;;20,000;3 208,20
9;43360      ;;;Бирка для ключей;;;упак;366;1,000;366,00;;;;;1,000;366,00
10;33123      ;;;Блок системный Pentium Core i3-8100 3.6 Ггц;;;шт;39 305,71;1,000;39 305,71;;;;;1,000;39 305,71
11;32460      ;;;Бренд-волл (2,95х1,95, люверсы);;;шт;6 396,57;12,000;76 758,84;;;;;12,000;76 758,84
12;17740      ;;;Бумага  писчая А-4;;;шт;246,87;5,000;1 234,35;;;;;5,000;1 234,35
13;04402      ;;;Вешалка;;;шт;67,2;1,000;67,20;;;;;1,000;67,20
14;11558      ;;;Вешалка;;;шт;41,25;4,000;165,00;;;;;4,000;165,00
15;42485      ;;;Видеокарта PCI-E Sapphire AMD Radeon;;;шт;13 750;1,000;13 750,00;;;;;1,000;13 750,00
16;03207      ;;;Визитка;;;шт;200;;;2,000;400;;;2,000;400,00
17;31036      ;;;Губки для посуды;;;упак;58,33;2,000;116,66;;;;;2,000;116,66
18;31504      ;;;Дверь ЛДСП в шкаф;;;шт;544,42;1,000;544,42;;;;;1,000;544,42
19;06274      ;;;Диск /програмное обеспечение/;;;шт;11 658,33;1,000;11 658,33;;;;;1,000;11 658,33
20;07640      ;;;Доска разделочная;;;шт;239,28;1,000;239,28;;;;;1,000;239,28
21;02589      ;;;Дырокол;;;шт;426,89;4,000;1 707,56;;;;;4,000;1 707,56
22;04612      ;;;Жалюзи;;;м2;611,85;9,200;5 629,02;;;;;9,200;5 629,02
23;26814      ;;;Жалюзи  вертикальные;;;м2;598,57;16,800;10 055,98;;;;;16,800;10 055,98
24;02216      ;;;Зеркало;;;шт;1 504,05;1,000;1 504,05;;;;;1,000;1 504,05
25;32701      ;;;Зонт алюминиевый с подставкой и утяжелителями;;;шт;22 944,44;3,000;68 833,32;;;;;3,000;68 833,32
26;32383      ;;;Зонт уличный брендированный;;;шт;20 000;8,000;160 000,00;;;;;8,000;160 000,00
