;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел по работе с ключ.кл...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;1 244,500;411 522,75;;;;;1 244,500;411 522,75
Отдел по работе с ключ.клиентами;;;;;;;;;1 244,500;411 522,75;;;;;1 244,500;411 522,75
1;23244      ;;;Автохолодильник;;;шт;44 824,59;1,000;44 824,59;;;;;1,000;44 824,59
2;07536      ;;;Аккумулятор холода;;;шт;306,31;13,000;3 982,03;;;;;13,000;3 982,03
3;10641      ;;;Антистеплер;;;шт;36,44;2,000;72,88;;;;;2,000;72,88
4;09126      ;;;Бейдж;;;шт;12,7;6,000;76,20;;;;;6,000;76,20
5;02526      ;;;Блок  бумаги д/записи;;;шт;66,87;3,000;200,61;;;;;3,000;200,61
6;29920      ;;;Блок - кубик для записи ;;;шт;74,31;2,000;148,62;;;;;2,000;148,62
7;30736      ;;;Блок для записей;;;шт;68,88;3,000;206,64;;;;;3,000;206,64
8;23375      ;;;Блок самоклеящ 76*76;;;шт;23,3;2,000;46,60;;;;;2,000;46,60
9;31123      ;;;Блок системный Veriton ;;;шт;25 261,86;1,000;25 261,86;;;;;1,000;25 261,86
10;04693      ;;;Блокнот;;;шт;43,14;1,000;43,14;;;;;1,000;43,14
11;17740      ;;;Бумага  писчая А-4;;;шт;246,87;37,000;9 134,19;;;;;37,000;9 134,19
12;26047      ;;;Бумага цветная;;;шт;321,74;1,000;321,74;;;;;1,000;321,74
13;32284      ;;;Вешалка-стойка;;;шт;1 384,64;2,000;2 769,28;;;;;2,000;2 769,28
14;03222      ;;;Доска  магнитно-маркерная;;;шт;4 492,09;1,000;4 492,09;;;;;1,000;4 492,09
15;04612      ;;;Жалюзи;;;м2;611,85;4,500;2 753,33;;;;;4,500;2 753,33
16;33337      ;;;ЖМС "ТРИКЛОСЕПТ"жидкий антисептик для рук,1л;;;л;256,8;1,000;256,80;;;;;1,000;256,80
17;30544      ;;;Зажим для бумаг 19 мм 12 шт /упак;;;упак;27,59;1,000;27,59;;;;;1,000;27,59
18;34023      ;;;Зажим для бумаг 41 мм 12 шт /упак;;;упак;128,75;2,000;257,50;;;;;2,000;257,50
19;29767      ;;;Кабель-канал;;;шт;239,92;8,000;1 919,36;;;;;8,000;1 919,36
20;02220      ;;;Калькулятор ;;;шт;564,64;7,000;3 952,48;;;;;7,000;3 952,48
21;02620      ;;;Калькулятор;;;шт;412,19;2,000;824,38;;;;;2,000;824,38
22;29922      ;;;Карандаш чернографитный с ласт.;;;шт;10,31;24,000;247,44;;;;;24,000;247,44
23;31835      ;;;Карта настенная ;;;шт;2 133,82;2,000;4 267,64;;;;;2,000;4 267,64
24;03234      ;;;Картридж  для  принтера;;;шт;4 008,96;7,000;28 062,72;;;;;7,000;28 062,72
25;32686      ;;;Коммутатор Mikrotik;;;шт;6 858,21;1,000;6 858,21;;;;;1,000;6 858,21
26;31320      ;;;Компьютер "Регард" РДЦБ-001895;;;шт;13 635,59;1,000;13 635,59;;;;;1,000;13 635,59
27;32502      ;;;Компьютер PET ;;;шт;28 186,93;1,000;28 186,93;;;;;1,000;28 186,93
28;29704      ;;;Корректирующая жидкость;;;шт;26,89;2,000;53,78;;;;;2,000;53,78
29;33438      ;;;Кофеварка POLARIS 4005A;;;шт;3 749,17;1,000;3 749,17;;;;;1,000;3 749,17
30;07647      ;;;Креманка;;;шт;3,38;200,000;676,00;;;;;200,000;676,00
31;02673      ;;;Лента  клеевая  скотч;;;шт;66,29;1,000;66,29;;;;;1,000;66,29
32;30576      ;;;Лента клейкая канцелярская 12*33 мм;;;шт;11,82;2,000;23,64;;;;;2,000;23,64
33;14690      ;;;Ложка чайная;;;шт;3,29;200,000;658,00;;;;;200,000;658,00
34;04648      ;;;Лоток  для  бумаг;;;шт;231,78;2,000;463,56;;;;;2,000;463,56
35;02682      ;;;Лоток для бумаг;;;шт;117,05;18,000;2 106,90;;;;;18,000;2 106,90
36;34841      ;;;Маршрутизатор Xiaomi;;;шт;1 104,4;1,000;1 104,40;;;;;1,000;1 104,40
37;03430      ;;;Модуль  памяти;;;шт;14 268,75;1,000;14 268,75;;;;;1,000;14 268,75
38;32821      ;;;Монитор LCD Philips;;;шт;5 000;1,000;5 000,00;;;;;1,000;5 000,00
39;31509      ;;;МФУ лазерный Jet Pro  М132 fn;;;шт;12 093,89;1,000;12 093,89;;;;;1,000;12 093,89
40;30116      ;;;Набор  для магнитной доски;;;шт;112,71;1,000;112,71;;;;;1,000;112,71
41;06199      ;;;Набор текстовыделителей;;;шт;155,54;2,000;311,08;;;;;2,000;311,08
42;33955      ;;;Накопитель твердотельный SSD 2.5 Sata-3;;;шт;2 386,47;2,000;4 772,94;;;;;2,000;4 772,94
43;02713      ;;;Ножницы  канцелярские ;;;шт;106,74;3,000;320,22;;;;;3,000;320,22
44;31122      ;;;Ноутбук "Аsus";;;шт;29 050,42;1,000;29 050,42;;;;;1,000;29 050,42
45;32066      ;;;Ноутбук 15.6 ASUS X507UB-BQ256T;;;шт;33 300;1,000;33 300,00;;;;;1,000;33 300,00
46;21781      ;;;Папка-регистратор;;;шт;131,71;2,000;263,42;;;;;2,000;263,42
47;02921      ;;;Печать;;;шт;231,26;70,000;16 188,20;;;;;70,000;16 188,20
48;02309      ;;;Печать круглая;;;шт;629,34;2,000;1 258,68;;;;;2,000;1 258,68
49;42690      ;;;Печать на автоматической оснастке;;;шт;900;1,000;900,00;;;;;1,000;900,00
50;02752      ;;;Подставка  угол;;;шт;163,44;2,000;326,88;;;;;2,000;326,88
51;29453      ;;;Провод ;;;м;29,22;16,000;467,52;;;;;16,000;467,52
52;24797      ;;;Пульт управления замком;;;шт;1 285,22;14,000;17 993,08;;;;;14,000;17 993,08
53;13699      ;;;Радиатор-обогрев, масляный ;;;шт;3 594,5;1,000;3 594,50;;;;;1,000;3 594,50
54;21190      ;;;Ручка гелевая;;;шт;19,73;16,000;315,68;;;;;16,000;315,68
55;19122      ;;;Ручка шариковая;;;шт;15,09;46,000;694,14;;;;;46,000;694,14
56;11106      ;;;СВЧ-печь;;;шт;2 929,84;1,000;2 929,84;;;;;1,000;2 929,84
57;02767      ;;;Скобы  к  степлеру  N24  ;;;пачка;24,18;5,000;120,90;;;;;5,000;120,90
58;32009      ;;;Скоросшиватель пластиковый;;;шт;14,27;10,000;142,70;;;;;10,000;142,70
59;02768      ;;;Скрепки  канцелярские  28мм;;;пачка;24,73;2,000;49,46;;;;;2,000;49,46
60;02769      ;;;Скрепки  канцелярские  50мм;;;пачка;39,64;1,000;39,64;;;;;1,000;39,64
61;31007      ;;;Скрепки канцелярские  33мм;;;пачка;35,95;8,000;287,60;;;;;8,000;287,60
62;31046      ;;;Сплитсистема Оasis  CL-24;;;шт;33 406,78;1,000;33 406,78;;;;;1,000;33 406,78
63;02773      ;;;Степлер  N  24;;;шт;186,89;2,000;373,78;;;;;2,000;373,78
64;02372      ;;;Стол для компьютера;;;шт;;1,000;;;;;;1,000;
65;13527      ;;;Стол письменный ;;;шт;3 391,26;2,000;6 782,52;;;;;2,000;6 782,52
66;02522      ;;;Стол рабочий;;;шт;;1,000;;;;;;1,000;
67;19988      ;;;Стул ИЗО;;;шт;800,14;2,000;1 600,28;;;;;2,000;1 600,28
68;18064      ;;;Сумка-холодильник;;;шт;1 576,89;1,000;1 576,89;;;;;1,000;1 576,89
69;31047      ;;;Терма ЭКО С-10;;;м;10,18;8,000;81,44;;;;;8,000;81,44
70;31048      ;;;Терма ЭКО С-15;;;м;14,41;8,000;115,28;;;;;8,000;115,28
71;02783      ;;;Тетрадь  общая  48 листов  клетка ;;;шт;24,13;5,000;120,65;;;;;5,000;120,65
72;42990      ;;;Тетрадь А5 40 л;;;шт;39,74;4,000;158,96;;;;;4,000;158,96
73;02788      ;;;Точилка;;;шт;37,66;6,000;225,96;;;;;6,000;225,96
74;30956      ;;;Труба  медная ;;;м;136,48;16,000;2 183,68;;;;;16,000;2 183,68
75;12032      ;;;Тумба подкатная;;;шт;3 086,71;2,000;6 173,42;;;;;2,000;6 173,42
76;02628      ;;;Удлинитель;;;шт;390,11;4,000;1 560,44;;;;;4,000;1 560,44
77;31907      ;;;Удлинитель сетевой 3-местный;;;шт;313,75;2,000;627,50;;;;;2,000;627,50
78;28159      ;;;Удлинитель силовой сварочный на катушке;;;шт;3 159,84;2,000;6 319,68;;;;;2,000;6 319,68
79;22200      ;;;Файл А4;;;шт;1,49;400,000;596,00;;;;;400,000;596,00
80;03378      ;;;Фильтр  сетевой;;;шт;416,49;1,000;416,49;;;;;1,000;416,49
81;23658      ;;;Фильтр сетевой  5 м;;;шт;372,2;2,000;744,40;;;;;2,000;744,40
82;02685      ;;;Холодильник  "Атлант";;;шт;11 924,17;1,000;11 924,17;;;;;1,000;11 924,17
Итого;;;;;;;;;1 244,500;411 522,75;;;;;1 244,500;411 522,75
