;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел продаж по г.Липецку...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;Ед. измерения;;Цена;;;;;;;;
Итого;;;;;;;;;24,400;15 534,89;;;;;24,400;15 534,89
Отдел продаж по г.Липецку (Реснянская А.);;;;;;;;;24,400;15 534,89;;;;;24,400;15 534,89
1;02010      ;;;Аппарат телефонный;;шт;;;2,000;;;;;;2,000;
2;04612      ;;;Жалюзи;;м2;;611,85;4,400;2 692,14;;;;;4,400;2 692,14
3;02216      ;;;Зеркало;;шт;;1 504,05;1,000;1 504,05;;;;;1,000;1 504,05
4;09075      ;;;Карта г. Липецка;;шт;;80;2,000;160,00;;;;;2,000;160,00
5;14360      ;;;Коммутатор D-Linк DES;;шт;;2 609,23;1,000;2 609,23;;;;;1,000;2 609,23
6;02222      ;;;Комод;;шт;;;1,000;;;;;;1,000;
7;02255      ;;;Кресло;;шт;;;1,000;;;;;;1,000;
8;02336      ;;;Сектор стола;;шт;;;1,000;;;;;;1,000;
9;02375      ;;;Стол офисный;;шт;;3 660;2,000;7 320,00;;;;;2,000;7 320,00
10;02532      ;;;Стул п/м;;шт;;;1,000;;;;;;1,000;
11;02547      ;;;Стул с обивкой;;шт;;;4,000;;;;;;4,000;
12;03378      ;;;Фильтр  сетевой;;шт;;416,49;3,000;1 249,47;;;;;3,000;1 249,47
13;02743      ;;;Шкаф для одежды;;шт;;;1,000;;;;;;1,000;
Итого;;;;;;;;;24,400;15 534,89;;;;;24,400;15 534,89
