;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Отдел отгрузки (Курносова...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;221,000;530 572,91;;;;;221,000;530 572,91
Отдел отгрузки (Курносова Е.А.);;;;;;;;;221,000;530 572,91;;;;;221,000;530 572,91
1;33123      ;;;Блок системный Pentium Core i3-8100 3.6 Ггц;;;шт;39 305,71;2,000;78 611,42;;;;;2,000;78 611,42
2;32820      ;;;Блок системный на базе Gigabyte ;;;шт;32 966,67;2,000;65 933,34;;;;;2,000;65 933,34
3;17740      ;;;Бумага  писчая А-4;;;шт;246,87;101,000;24 933,87;;;;;101,000;24 933,87
4;02589      ;;;Дырокол;;;шт;426,89;2,000;853,78;;;;;2,000;853,78
5;02220      ;;;Калькулятор ;;;шт;564,64;3,000;1 693,92;;;;;3,000;1 693,92
6;03234      ;;;Картридж  для  принтера;;;шт;4 008,96;21,000;84 188,16;;;;;21,000;84 188,16
7;32488      ;;;Картридж для LaserJet;;;шт;7 790;2,000;15 580,00;;;;;2,000;15 580,00
8;34073      ;;;Клавиатура Oklick проводная ;;;шт;330;1,000;330,00;;;;;1,000;330,00
9;13939      ;;;Клише;;;шт;400;2,000;800,00;;;;;2,000;800,00
10;08207      ;;;Ключ;;;шт;111,85;4,000;447,40;;;;;4,000;447,40
11;10322      ;;;Кресло офисное;;;шт;6 467,58;1,000;6 467,58;;;;;1,000;6 467,58
12;27310      ;;;Мешок хоз, для мусора 180л;;;шт;10,2;4,000;40,80;;;;;4,000;40,80
13;02282      ;;;Монитор;;;шт;4 297,7;1,000;4 297,70;;;;;1,000;4 297,70
14;33125      ;;;Мышь Oklick 185М оптическая черная, USB ;;;шт;225,73;2,000;451,46;;;;;2,000;451,46
15;31656      ;;;Накопитель SSD SATA;;;шт;5 315,02;3,000;15 945,06;;;;;3,000;15 945,06
16;02305      ;;;Оснастка для печати;;;шт;248,3;2,000;496,60;;;;;2,000;496,60
17;28175      ;;;Память оперативная DDR3 DIMM 4Gb;;;шт;1 945,83;3,000;5 837,49;;;;;3,000;5 837,49
18;34292      ;;;Память оперативная DDR3 Gb 1333MHz Kingston;;;шт;2 900;2,000;5 800,00;;;;;2,000;5 800,00
19;02921      ;;;Печать;;;шт;231,26;5,000;1 156,30;;;;;5,000;1 156,30
20;02309      ;;;Печать круглая;;;шт;629,34;11,000;6 922,74;;;;;11,000;6 922,74
21;32311      ;;;Принтер Kyocera P3050dn;;;шт;22 090,28;1,000;22 090,28;;;;;1,000;22 090,28
22;04898      ;;;Принтер лазерный HP  LaserJet ;;;шт;69 000;1,000;69 000,00;;;;;1,000;69 000,00
23;33541      ;;;Принтер лазерный KYOCERA P3145dn;;;шт;27 500;3,000;82 500,00;;;;;3,000;82 500,00
24;26997      ;;;Проводной Телефон Alc.Т 22;;;шт;761,86;2,000;1 523,72;;;;;2,000;1 523,72
25;02771      ;;;Степлер  N  10;;;шт;117,44;3,000;352,32;;;;;3,000;352,32
26;02773      ;;;Степлер  N  24;;;шт;186,89;7,000;1 308,23;;;;;7,000;1 308,23
27;13527      ;;;Стол письменный ;;;шт;3 391,26;3,000;10 173,78;;;;;3,000;10 173,78
28;19988      ;;;Стул ИЗО;;;шт;800,14;7,000;5 600,98;;;;;7,000;5 600,98
29;12032      ;;;Тумба подкатная;;;шт;3 086,71;3,000;9 260,13;;;;;3,000;9 260,13
30;02628      ;;;Удлинитель;;;шт;390,11;1,000;390,11;;;;;1,000;390,11
31;03378      ;;;Фильтр  сетевой;;;шт;416,49;2,000;832,98;;;;;2,000;832,98
32;20202      ;;;Фильтр  сетевой 5 м;;;шт;315,25;3,000;945,75;;;;;3,000;945,75
33;20203      ;;;Фильтр сетевой  3 м;;;шт;335,67;2,000;671,34;;;;;2,000;671,34
34;35026      ;;;Чайник электрический Hi ek-18s01;;;шт;490;2,000;980,00;;;;;2,000;980,00
35;03016      ;;;Штамп;;;шт;499,63;3,000;1 498,89;;;;;3,000;1 498,89
36;07589      ;;;Штамп 11;;;шт;680;3,000;2 040,00;;;;;3,000;2 040,00
37;30697      ;;;Штамп на автоматической оснастке ;;;шт;616,78;1,000;616,78;;;;;1,000;616,78
Итого;;;;;;;;;221,000;530 572,91;;;;;221,000;530 572,91
