;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: ОГИ (Лутовинов С.С.);;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;7 900,226;3 804 979,34;;;;;7 900,226;3 804 979,34
ОГИ (Лутовинов С.С.);;;;;;;;;7 900,226;3 804 979,34;;;;;7 900,226;3 804 979,34
1;02010      ;;;Аппарат телефонный;;;шт;;4,000;;;;;;4,000;
2;01595      ;;;Бейсболка;;;шт;160,41;70,000;11 228,70;;;;;70,000;11 228,70
3;02449      ;;;Бокорезы;;;шт;1 749,17;2,000;3 498,34;;;;;2,000;3 498,34
4;31502      ;;;Болт  М-12х70;;;кг;122,99;6,000;737,94;;;;;6,000;737,94
5;01636      ;;;Ботинки кожаные мужские;;;пар;1 105,42;37,000;40 900,54;;;;;37,000;40 900,54
6;34998      ;;;Ботинки рабочие;;;пар;1 906,29;2,000;3 812,58;;;;;2,000;3 812,58
7;32309      ;;;Ботинки Трейл цв.чер.сталь;;;пар;1 711,02;39,000;66 729,78;;;;;39,000;66 729,78
8;33873      ;;;Ботинки утепленные;;;пар;3 231,56;1,000;3 231,56;;;;;1,000;3 231,56
9;02042      ;;;Валенки;;;пар;;1,000;;;;;;1,000;
10;23101      ;;;Вискозиметр;;;шт;1 029,44;1,000;1 029,44;;;;;1,000;1 029,44
11;30366      ;;;Вороток д/метчиков;;;шт;266,25;1,000;266,25;;;;;1,000;266,25
12;28686      ;;;Вставка для линии "Эксперт";;;шт;3 489,17;90,000;314 025,30;;;;;90,000;314 025,30
13;22216      ;;;Гайка  М - 16;;;кг;204,33;4,296;877,80;;;;;4,296;877,80
14;15888      ;;;Гигрометр  психометрический  ВИТ-2;;;шт;413,34;1,000;413,34;;;;;1,000;413,34
15;05972      ;;;Дрель;;;шт;5 600;1,000;5 600,00;;;;;1,000;5 600,00
16;16075      ;;;Жалюзи;;;шт;2 066,55;3,000;6 199,65;;;;;3,000;6 199,65
17;04612      ;;;Жалюзи;;;м2;611,85;4,500;2 753,33;;;;;4,500;2 753,33
18;02466      ;;;Зубило слесарное;;;шт;203,01;5,000;1 015,05;;;;;5,000;1 015,05
19;02620      ;;;Калькулятор;;;шт;412,19;1,000;412,19;;;;;1,000;412,19
20;01603      ;;;Кепка  рабочая;;;шт;295,88;53,000;15 681,64;;;;;53,000;15 681,64
21;30998      ;;;Клей жидкий Космофен;;;шт;225;1,000;225,00;;;;;1,000;225,00
22;02480      ;;;Ключ гаечный 22*24;;;шт;89,2;3,000;267,60;;;;;3,000;267,60
23;06641      ;;;Ключ гаечный 27*30;;;шт;133;2,000;266,00;;;;;2,000;266,00
24;06787      ;;;Ключ гаечный 30х32;;;шт;136,25;4,000;545,00;;;;;4,000;545,00
25;06720      ;;;Ключ гаечный 32х36;;;шт;182,4;3,000;547,20;;;;;3,000;547,20
26;06719      ;;;Ключ гаечный 36х41;;;шт;278;1,000;278,00;;;;;1,000;278,00
27;02486      ;;;Ключ имбусовый;;;шт;26,33;5,000;131,65;;;;;5,000;131,65
28;09674      ;;;Кольцо 014-018-2,5;;;шт;13,79;31,000;427,49;;;;;31,000;427,49
29;30997      ;;;Кольцо 014-019-3,0;;;шт;12,89;25,000;322,25;;;;;25,000;322,25
30;30318      ;;;Кольцо 015-020-3,0;;;шт;12,49;8,000;99,92;;;;;8,000;99,92
31;30442      ;;;Кольцо 016-020-2,5;;;шт;13,36;18,000;240,48;;;;;18,000;240,48
32;22578      ;;;Кольцо стопорное;;;шт;12,41;22,000;273,02;;;;;22,000;273,02
33;02240      ;;;Кондиционер;;;шт;;1,000;;;;;;1,000;
34;01586      ;;;Контейнер  мусорный;;;шт;573,75;5,000;2 868,75;;;;;5,000;2 868,75
35;02881      ;;;Корзина для мусора;;;шт;47,14;1,000;47,14;;;;;1,000;47,14
36;31566      ;;;Костюм  мужской;;;шт;2 834,53;2,000;5 669,06;;;;;2,000;5 669,06
37;15495      ;;;Костюм  мужской;;;шт;1 414,59;80,000;113 167,20;;;;;80,000;113 167,20
38;01610      ;;;Костюм  противокислотный;;;шт;640,78;1,000;640,78;;;;;1,000;640,78
39;08534      ;;;Костюм  тк,сукно;;;шт;3 220,56;1,000;3 220,56;;;;;1,000;3 220,56
40;31339      ;;;Костюм "Специалист-1";;;шт;2 688,15;20,000;53 763,00;;;;;20,000;53 763,00
41;31597      ;;;Круг г/к констр.;;;м;103,16;42,000;4 332,72;;;;;42,000;4 332,72
42;01612      ;;;Куртка  утепленная;;;шт;4 802,06;35,000;168 072,10;;;;;35,000;168 072,10
43;01613      ;;;Куртка  х/б рабочая;;;шт;1 815,77;53,000;96 235,81;;;;;53,000;96 235,81
44;04472      ;;;Куртка ватная;;;шт;;8,000;;;;;;8,000;
45;08135      ;;;Лента алюм,ASM-0,5х300;;;кг;153;2,000;306,00;;;;;2,000;306,00
46;09069      ;;;Манжет арм,;;;шт;66,48;40,000;2 659,20;;;;;40,000;2 659,20
47;23439      ;;;Манжет арм,25х42*10;;;шт;43,34;5,000;216,70;;;;;5,000;216,70
48;34185      ;;;Масло  "Shell MORLINA";;;л;286,67;12,000;3 440,04;;;;;12,000;3 440,04
49;01564      ;;;Масло  цилиндровое  Ц-52;;;кг;89,77;91,000;8 169,07;;;;;91,000;8 169,07
50;19118      ;;;Масло Mоbil  Vacuoline;;;л;160,94;102,000;16 415,88;;;;;102,000;16 415,88
51;02274      ;;;Машинка обрезная ручная;;;шт;;1,000;;;;;;1,000;
52;31500      ;;;Метчик М-16,0;;;шт;354,56;4,000;1 418,24;;;;;4,000;1 418,24
53;21887      ;;;Метчик М-16х2,0;;;шт;158,76;4,000;635,04;;;;;4,000;635,04
54;18481      ;;;Метчик М-20*1,5;;;шт;271,19;4,000;1 084,76;;;;;4,000;1 084,76
55;18482      ;;;Метчик М-20*2,5;;;шт;272,33;4,000;1 089,32;;;;;4,000;1 089,32
56;24872      ;;;Метчик М-6*1,0;;;шт;107,11;6,000;642,66;;;;;6,000;642,66
57;02577      ;;;Метчик М-8*1,25;;;шт;121,57;4,000;486,28;;;;;4,000;486,28
58;02901      ;;;Микрометр МК-025;;;шт;1 427,5;1,000;1 427,50;;;;;1,000;1 427,50
59;02578      ;;;Молоток;;;шт;156,39;18,000;2 815,02;;;;;18,000;2 815,02
60;31019      ;;;МФУ лазерный HP М132 а RU ;;;шт;8 635,59;1,000;8 635,59;;;;;1,000;8 635,59
61;32481      ;;;Мыло туалетное 1/200;;;шт;38,65;343,000;13 256,95;;;;;343,000;13 256,95
62;29781      ;;;Мыло хозяйственное  1/200;;;шт;20,58;55,000;1 131,90;;;;;55,000;1 131,90
63;08053      ;;;Мыло хозяйственное 1/200;;;шт;11,08;38,000;421,04;;;;;38,000;421,04
64;02581      ;;;Набор головок;;;шт;2 142,8;4,000;8 571,20;;;;;4,000;8 571,20
65;02611      ;;;Напильник круглый;;;шт;102,8;9,000;925,20;;;;;9,000;925,20
66;02613      ;;;Напильник плоский;;;шт;150,67;6,000;904,02;;;;;6,000;904,02
67;27541      ;;;Насадка крестообразная;;;шт;48,51;5,000;242,55;;;;;5,000;242,55
68;22344      ;;;Нутромер индикаторный;;;шт;2 144,07;2,000;4 288,14;;;;;2,000;4 288,14
69;02913      ;;;Огнетушитель ОП-3;;;шт;567,14;1,000;567,14;;;;;1,000;567,14
70;02295      ;;;Огнетушитель ОП-5;;;шт;771,26;3,000;2 313,78;;;;;3,000;2 313,78
71;02629      ;;;Отвертка;;;шт;99,72;22,000;2 193,84;;;;;22,000;2 193,84
72;03507      ;;;Патрубок ;;;шт;329,37;25,300;8 333,06;;;;;25,300;8 333,06
73;02630      ;;;Паяльник;;;шт;321,8;2,000;643,60;;;;;2,000;643,60
74;07797      ;;;Переноска;;;шт;503,35;1,000;503,35;;;;;1,000;503,35
