;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: РМЦ (Поздняков А.М.);;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;1 985,328;711 172,72;10,000;146,4;;;1 995,328;711 319,12
РМЦ (Поздняков А.М.);;;;;;;;;1 985,328;711 172,72;10,000;146,4;;;1 995,328;711 319,12
1;01655      ;;;Аргон (1бал,=6м,куб);;;м3;166,67;12,000;2 000,04;;;;;12,000;2 000,04
2;01243      ;;;Ацетилен (1 бал-5кг);;;кг;675,38;9,000;6 078,42;;;;;9,000;6 078,42
3;01573      ;;;Баллон  аргонный;;;шт;810,5;4,000;3 242,00;;;;;4,000;3 242,00
4;01574      ;;;Баллон  ацетиленовый;;;шт;1 547,77;3,000;4 643,31;;;;;3,000;4 643,31
5;01575      ;;;Баллон  кислородный;;;шт;590,63;2,000;1 181,26;;;;;2,000;1 181,26
6;01576      ;;;Баллон  пропановый;;;шт;195,5;3,000;586,50;;;;;3,000;586,50
7;16028      ;;;Бензопила;;;шт;14 490;1,000;14 490,00;;;;;1,000;14 490,00
8;25855      ;;;Бензотриммер;;;шт;7 618,64;1,000;7 618,64;;;;;1,000;7 618,64
9;43372      ;;;Болт  М-10х140;;;шт;13,78;2,000;27,56;;;;;2,000;27,56
10;43369      ;;;Болт  М-16х100;;;шт;34,48;2,000;68,96;;;;;2,000;68,96
11;43370      ;;;Болт  М-6х120;;;шт;4,96;2,000;9,92;;;;;2,000;9,92
12;43371      ;;;Болт  М-8х140;;;шт;8,9;2,000;17,80;;;;;2,000;17,80
13;43366      ;;;Болт  М20х110;;;шт;67,89;1,000;67,89;;;;;1,000;67,89
14;21037      ;;;Болт анкерный ;;;шт;15,49;24,000;371,76;;;;;24,000;371,76
15;43053      ;;;Бордюр тротуарный;;;м3;11 458,34;0,560;6 416,67;;;;;0,560;6 416,67
16;03200      ;;;Бумага  туалетная;;;шт;8,96;5,000;44,80;;;;;5,000;44,80
17;02074      ;;;Верстак;;;шт;10 727,75;1,000;10 727,75;;;;;1,000;10 727,75
18;43355      ;;;Воздуходувка-опрыскиватель ;;;шт;68 700,25;1,000;68 700,25;;;;;1,000;68 700,25
19;30257      ;;;Гайка  №16;;;шт;36,05;2,000;72,10;;;;;2,000;72,10
20;43367      ;;;Гайка М20;;;шт;71,83;1,000;71,83;;;;;1,000;71,83
21;01356      ;;;Гвозди;;;кг;95,56;5,000;477,80;;;;;5,000;477,80
22;24906      ;;;Герметик белый;;;кг;150,26;3,000;450,78;;;;;3,000;450,78
23;33877      ;;;Герметик силикон прозрачный;;;шт;222,66;3,000;667,98;;;;;3,000;667,98
24;03210      ;;;Горелка  газовая;;;шт;808,33;1,000;808,33;;;;;1,000;808,33
