;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Служба качества (Пешкина ...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;6 209,427;689 188,55;;;;;6 209,427;689 188,55
Служба качества (Пешкина Н.И.);;;;;;;;;6 209,427;689 188,55;;;;;6 209,427;689 188,55
1;06162      ;;;Агар питательный;;;кг;6 618,95;0,019;125,76;;;;;0,019;125,76
2;01991      ;;;Аквадистиллятор;;;шт;;1,000;;;;;;1,000;
3;35200      ;;;Алкадекс КП-25, 5л;;;л;266,67;5,000;1 333,35;;;;;5,000;1 333,35
4;03195      ;;;Аппарат  сушильный  АПС-1;;;шт;290;1,000;290,00;;;;;1,000;290,00
5;02010      ;;;Аппарат телефонный;;;шт;;1,000;;;;;;1,000;
6;26616      ;;;Аптечка для оказания первой помощи работникам;;;шт;845,84;1,000;845,84;;;;;1,000;845,84
7;04421      ;;;Ареометр;;;шт;290,65;19,000;5 522,35;;;;;19,000;5 522,35
8;35079      ;;;Баклажка с крышкой ;;;шт;11,48;14,000;160,72;;;;;14,000;160,72
9;02015      ;;;Баня с регулятором;;;шт;8 805,09;2,000;17 610,18;;;;;2,000;17 610,18
10;04890      ;;;Батарейка;;;шт;89,47;2,000;178,94;;;;;2,000;178,94
11;02833      ;;;Блок  автономного  питания;;;шт;4 216,66;1,000;4 216,66;;;;;1,000;4 216,66
12;29721      ;;;Бокса алюминиевая 50х20;;;шт;100;10,000;1 000,00;;;;;10,000;1 000,00
13;31101      ;;;Бульон лактозный с бриллиантовым зеленым и желчью;;;г;13,05;0,400;5,22;;;;;0,400;5,22
14;17740      ;;;Бумага  писчая А-4;;;шт;246,87;17,000;4 196,79;;;;;17,000;4 196,79
15;03200      ;;;Бумага  туалетная;;;шт;8,96;20,000;179,20;;;;;20,000;179,20
16;02847      ;;;Бутирометр;;;шт;278,69;8,000;2 229,52;;;;;8,000;2 229,52
17;29716      ;;;Буттыль Вульфа 5.0л;;;шт;1 150;2,000;2 300,00;;;;;2,000;2 300,00
18;31915      ;;;Бюкса алюминиевая ;;;шт;159,63;8,000;1 277,04;;;;;8,000;1 277,04
19;03203      ;;;Бюретка  лабораторная;;;шт;382,31;3,000;1 146,93;;;;;3,000;1 146,93
20;30986      ;;;Ведро 5 л б/крыш;;;шт;45,76;1,000;45,76;;;;;1,000;45,76
21;32695      ;;;Ведро 8л;;;шт;84,17;3,000;252,51;;;;;3,000;252,51
22;07070      ;;;Ведро пластмассовое;;;шт;108,66;2,000;217,32;;;;;2,000;217,32
23;11558      ;;;Вешалка;;;шт;41,25;4,000;165,00;;;;;4,000;165,00
24;34376      ;;;Влагомер лабораторный;;;шт;14 750;1,000;14 750,00;;;;;1,000;14 750,00
25;32242      ;;;Воронка;;;шт;161,63;7,000;1 131,41;;;;;7,000;1 131,41
26;34337      ;;;Гардероб 720*380*1940 б/у;;;шт;302,54;1,000;302,54;;;;;1,000;302,54
27;03208      ;;;Гиря  для  лабораторных  весов;;;шт;2 393,83;2,000;4 787,66;;;;;2,000;4 787,66
