;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Цех мороженого (Чернышова...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
Цех мороженого (Чернышова Л.Ю.);;;;;;;;;2 420,400;1 221 596,93;670,000;749,2;2,000;1 000,00;3 088,400;1 221 346,13
1;05117      ;;;Бахилы;;;пар;0,82;;;300,000;246;;;300,000;246,00
2;01596      ;;;Беруши;;;шт;16,73;20,000;334,60;;;;;20,000;334,60
3;31182      ;;;Блок внутренний сплит-системы;;;шт;17 680,01;1,000;17 680,01;;;;;1,000;17 680,01
4;31183      ;;;Блок наружный сплит-системы;;;шт;29 716,67;1,000;29 716,67;;;;;1,000;29 716,67
5;17740      ;;;Бумага  писчая А-4;;;шт;246,87;25,000;6 171,75;;;;;25,000;6 171,75
6;03200      ;;;Бумага  туалетная;;;шт;8,96;200,000;1 792,00;;;;;200,000;1 792,00
7;42014      ;;;Весы М-ER 326 AFU -3/01;;;шт;5 250;3,000;15 750,00;;;;;3,000;15 750,00
8;42015      ;;;Весы М-ER 326AF-15,2;;;шт;4 158,33;1,000;4 158,33;;;;;1,000;4 158,33
9;33803      ;;;Весы МТ 6В1ЖА;;;шт;2 916,67;2,000;5 833,34;;;;;2,000;5 833,34
10;24122      ;;;Генератор холодного тумана;;;шт;17 083,33;1,000;17 083,33;;;;;1,000;17 083,33
11;33866      ;;;Демосистема настенная ;;;шт;1 434,28;1,000;1 434,28;;;;;1,000;1 434,28
