;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Директор по эк.безопаснос...;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;91,000;354 169,57;;;;;91,000;354 169,57
Директор по эк.безопасности ;;;;;;;;;91,000;354 169,57;;;;;91,000;354 169,57
1;43077      ;;;IP-камера уличная HiWatch DS-1400;;;шт;5 994;5,000;29 970,00;;;;;5,000;29 970,00
2;02010      ;;;Аппарат телефонный;;;шт;;3,000;;;;;;3,000;
3;43076      ;;;Видеокамера мультиформатная HiWatch DS-T200;;;шт;1 854;1,000;1 854,00;;;;;1,000;1 854,00
4;43074      ;;;Видеорегистратор 16-канальный HiWatch;;;шт;9 954;1,000;9 954,00;;;;;1,000;9 954,00
5;43073      ;;;Видеорегистратор 32-канальный HiWatch;;;шт;19 494;1,000;19 494,00;;;;;1,000;19 494,00
6;43072      ;;;Видеорегистратор 4-канальный HiWatch;;;шт;7 554;1,000;7 554,00;;;;;1,000;7 554,00
7;32477      ;;;Видеорегистратор HIKVISION;;;шт;3 750;1,000;3 750,00;;;;;1,000;3 750,00
8;23793      ;;;Видеорегистратор Orient SEDVR-6316AD;;;шт;10 848,92;1,000;10 848,92;;;;;1,000;10 848,92
9;02814      ;;;Грабли;;;шт;81,12;1,000;81,12;;;;;1,000;81,12
10;04711      ;;;Диск жесткий;;;шт;5 499,94;2,000;10 999,88;;;;;2,000;10 999,88
11;02216      ;;;Зеркало;;;шт;1 504,05;2,000;3 008,10;;;;;2,000;3 008,10
12;42007      ;;;Индукционная USB дата-станция для СУ VGL Патруль 4;;;шт;3 811,46;1,000;3 811,46;;;;;1,000;3 811,46
13;02939      ;;;Источник  бесперебойного  питания;;;шт;6 955,91;1,000;6 955,91;;;;;1,000;6 955,91
14;33348      ;;;Камера видеонаблюдения;;;шт;1 100;2,000;2 200,00;;;;;2,000;2 200,00
15;43075      ;;;Камера видеонаблюдения IP HiWatch DS-1203;;;шт;4 374;9,000;39 366,00;;;;;9,000;39 366,00
16;02871      ;;;Карта памяти;;;шт;878,77;1,000;878,77;;;;;1,000;878,77
17;43078      ;;;Коммутатор 16-порт.AT-NS-16P2G-1GS-150;;;шт;10 649;3,000;31 947,00;;;;;3,000;31 947,00
18;34529      ;;;Коммутатор OSNOVO SW-20900;;;шт;2 279,17;1,000;2 279,17;;;;;1,000;2 279,17
19;31192      ;;;Кондиционер Dahatsu DH-09 G;;;шт;13 580,51;1,000;13 580,51;;;;;1,000;13 580,51
20;04769      ;;;Лицевые части МГП;;;шт;296,61;10,000;2 966,10;;;;;10,000;2 966,10
21;01616      ;;;Маска    панорамная ППМ-88;;;шт;731,76;2,000;1 463,52;;;;;2,000;1 463,52
22;23680      ;;;Металлодетектор;;;шт;5 200;2,000;10 400,00;;;;;2,000;10 400,00
23;42008      ;;;Метка автономная беспроводная контрольная        ;;;шт;353,13;6,000;2 118,78;;;;;6,000;2 118,78
24;31503      ;;;Монитор 18.5 Acer;;;шт;3 805,08;1,000;3 805,08;;;;;1,000;3 805,08
