;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Электроцех (Жевна С.Ф.);;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;1 017,120;1 053 860,48;;;;;1 017,120;1 053 860,48
Электроцех (Жевна С.Ф.);;;;;;;;;1 017,120;1 053 860,48;;;;;1 017,120;1 053 860,48
1;43151      ;;;Аккумулятор 12V;;;шт;1 950;2,000;3 900,00;;;;;2,000;3 900,00
2;43286      ;;;Аккумулятор Li-ion;;;шт;297,75;1,000;297,75;;;;;1,000;297,75
3;04890      ;;;Батарейка;;;шт;89,47;11,000;984,17;;;;;11,000;984,17
4;29639      ;;;Боты диэлектрические;;;пар;592,2;1,000;592,20;;;;;1,000;592,20
5;30307      ;;;Вилка разборная угловая;;;шт;69,17;4,000;276,68;;;;;4,000;276,68
6;42773      ;;;Винтоверт аккумуляторный;;;шт;7 816,67;1,000;7 816,67;;;;;1,000;7 816,67
7;02905      ;;;Выключатель  вакуумный;;;шт;121 654,16;1,000;121 654,16;;;;;1,000;121 654,16
8;29641      ;;;Выключатель 1-кл.;;;шт;108,75;2,000;217,50;;;;;2,000;217,50
9;05080      ;;;Выключатель авт,;;;шт;798,89;15,000;11 983,35;;;;;15,000;11 983,35
10;27670      ;;;Выключатель авт. диф. тока;;;шт;1 616,67;10,000;16 166,70;;;;;10,000;16 166,70
11;26848      ;;;Гайка  М - 16;;;шт;30;2,000;60,00;;;;;2,000;60,00
12;01638      ;;;Галоши  резиновые;;;пар;380,79;1,000;380,79;;;;;1,000;380,79
13;43029      ;;;Головка под шуроповерт;;;упак;351,25;1,000;351,25;;;;;1,000;351,25
14;01381      ;;;Дюбель  гвоздевой  6х40;;;шт;240,83;1,000;240,83;;;;;1,000;240,83
15;03223      ;;;Жалюзи  ;;;м2;;10,120;;;;;;10,120;
16;17945      ;;;Заземление переносное;;;шт;2 838,98;1,000;2 838,98;;;;;1,000;2 838,98
17;29699      ;;;Заземление переносное ПЗРУ-1 до 1000В;;;шт;4 424,58;6,000;26 547,48;;;;;6,000;26 547,48
18;29700      ;;;Заземление переносное ЭПП-15;;;шт;9 044,49;2,000;18 088,98;;;;;2,000;18 088,98
19;17975      ;;;Инструкции примен,сред,защ, в эл,устан,;;;шт;225;2,000;450,00;;;;;2,000;450,00
20;31470      ;;;Инструкция по оказанию первой помощи при несчастных случаях на производстве;;;шт;518;18,000;9 324,00;;;;;18,000;9 324,00
21;28446      ;;;Кабель;;;м;109,2;50,000;5 460,00;;;;;50,000;5 460,00
22;43380      ;;;Канал кабельный напольный;;;шт;746,67;4,000;2 986,68;;;;;4,000;2 986,68
23;01602      ;;;Каска  защитная;;;шт;137,44;2,000;274,88;;;;;2,000;274,88
24;02472      ;;;Клепатель;;;шт;859,95;1,000;859,95;;;;;1,000;859,95
25;02474      ;;;Клещи;;;шт;1 225,88;2,000;2 451,76;;;;;2,000;2 451,76
26;29702      ;;;Клещи изолирующие КИ-1000 до 1000В;;;шт;292,88;6,000;1 757,28;;;;;6,000;1 757,28
27;31881      ;;;Клещи токовые цифровые;;;шт;2 518,64;1,000;2 518,64;;;;;1,000;2 518,64
28;31513      ;;;Компьютер "Регард" РДЦБ-002262;;;шт;23 905,08;1,000;23 905,08;;;;;1,000;23 905,08
29;10322      ;;;Кресло офисное;;;шт;6 467,58;1,000;6 467,58;;;;;1,000;6 467,58
30;20862      ;;;Лаз универсальный(кошки) ;;;шт;2 030;1,000;2 030,00;;;;;1,000;2 030,00
31;13419      ;;;Лампа светодиодная;;;шт;41,67;15,000;625,05;;;;;15,000;625,05
32;31059      ;;;Лампа ультрафиолетовая;;;шт;17 166,66;1,000;17 166,66;;;;;1,000;17 166,66
33;35088      ;;;Лента термотрансферная;;;шт;1 448,67;67,000;97 060,89;;;;;67,000;97 060,89
34;17808      ;;;Лестница ;;;шт;6 162,71;1,000;6 162,71;;;;;1,000;6 162,71
35;02819      ;;;Лопата  снегоуборочная;;;шт;477,69;1,000;477,69;;;;;1,000;477,69
36;21059      ;;;Маршрутизатор;;;шт;1 168,71;1,000;1 168,71;;;;;1,000;1 168,71
37;07491      ;;;Мешок хозяйственный для мусора 60л;;;рул;45,1;2,000;90,20;;;;;2,000;90,20
38;02578      ;;;Молоток;;;шт;156,39;4,000;625,56;;;;;4,000;625,56
39;23303      ;;;Монитор 23 LG ;;;шт;7 165,83;1,000;7 165,83;;;;;1,000;7 165,83
40;30898      ;;;Мультиметр ;;;шт;3 164,72;2,000;6 329,44;;;;;2,000;6 329,44
41;29765      ;;;Мультиметр  цифровой;;;шт;2 267,45;2,000;4 534,90;;;;;2,000;4 534,90
42;02581      ;;;Набор головок;;;шт;2 142,8;2,000;4 285,60;;;;;2,000;4 285,60
43;34850      ;;;Набор демеркуризационный;;;шт;6 235;1,000;6 235,00;;;;;1,000;6 235,00
44;31141      ;;;Набор инструментов;;;шт;10 226,84;1,000;10 226,84;;;;;1,000;10 226,84
45;02585      ;;;Набор ключей;;;шт;868,58;1,000;868,58;;;;;1,000;868,58
46;31142      ;;;Набор комбинированных ключей;;;шт;722,7;1,000;722,70;;;;;1,000;722,70
47;06098      ;;;Набор отверток;;;шт;1 146,95;10,000;11 469,50;;;;;10,000;11 469,50
48;02611      ;;;Напильник круглый;;;шт;102,8;2,000;205,60;;;;;2,000;205,60
49;26404      ;;;Ножницы для резки кабеля;;;шт;15 847,46;1,000;15 847,46;;;;;1,000;15 847,46
50;02623      ;;;Ножницы по металлу;;;шт;802,18;1,000;802,18;;;;;1,000;802,18
51;04469      ;;;Огнетушитель ОУ-5;;;шт;2 005,08;20,000;40 101,60;;;;;20,000;40 101,60
52;02917      ;;;Огнетушитель ОУ-5;;;шт;1 837,3;10,000;18 373,00;;;;;10,000;18 373,00
53;27307      ;;;Отвертка-индикатор;;;шт;65,83;10,000;658,30;;;;;10,000;658,30
54;32626      ;;;Память оперативная DDR4 8192 МВ;;;шт;2 499,17;1,000;2 499,17;;;;;1,000;2 499,17
55;08521      ;;;Патрон сверлильный;;;шт;470,75;1,000;470,75;;;;;1,000;470,75
56;02630      ;;;Паяльник;;;шт;321,8;2,000;643,60;;;;;2,000;643,60
57;11172      ;;;Перфоратор;;;шт;12 474,16;1,000;12 474,16;;;;;1,000;12 474,16
58;01639      ;;;Перчатки  диэлектрические (краги);;;пар;282,78;10,000;2 827,80;;;;;10,000;2 827,80
59;01641      ;;;Перчатки  х/б;;;пар;16,21;21,000;340,41;;;;;21,000;340,41
60;26347      ;;;Пистолет для герметика;;;шт;328,24;1,000;328,24;;;;;1,000;328,24
61;02680      ;;;Плоскогубцы;;;шт;415,65;21,000;8 728,65;;;;;21,000;8 728,65
62;08858      ;;;полотно вафельное;;;м;38,61;5,000;193,05;;;;;5,000;193,05
63;08893      ;;;Пресс-клещи;;;шт;900,42;2,000;1 800,84;;;;;2,000;1 800,84
64;01839      ;;;Провод  ПВС-3х1,5;;;м;65,43;100,000;6 543,00;;;;;100,000;6 543,00
65;16218      ;;;Провод ВПП-16;;;м;101,69;400,000;40 676,00;;;;;400,000;40 676,00
66;29602      ;;;Противогаз ;;;шт;2 980,23;1,000;2 980,23;;;;;1,000;2 980,23
67;03312      ;;;Растворитель  для  чернил  КИП;;;шт;2 549,14;28,000;71 375,92;;;;;28,000;71 375,92
68;43328      ;;;Регулятор расхода газа ACU20FD;;;шт;173 833,33;1,000;173 833,33;;;;;1,000;173 833,33
69;43379      ;;;Реле для компрессора в сборе;;;шт;1 206,67;1,000;1 206,67;;;;;1,000;1 206,67
70;31156      ;;;Ручка съема для плавких вставок;;;шт;288,14;1,000;288,14;;;;;1,000;288,14
71;22349      ;;;Сверло 10 мм;;;шт;162,72;2,000;325,44;;;;;2,000;325,44
72;02698      ;;;Сверло 2мм;;;шт;21,5;2,000;43,00;;;;;2,000;43,00
73;02701      ;;;Сверло 4 мм;;;шт;92,06;2,000;184,12;;;;;2,000;184,12
74;02707      ;;;Сверло 5 мм;;;шт;47,01;2,000;94,02;;;;;2,000;94,02
75;32979      ;;;Сверло 6 мм;;;шт;98,17;2,000;196,34;;;;;2,000;196,34
76;02702      ;;;Сверло 7 мм;;;шт;65,6;2,000;131,20;;;;;2,000;131,20
77;02704      ;;;Сверло 8 мм;;;шт;134,67;2,000;269,34;;;;;2,000;269,34
78;09024      ;;;Сверло 8,5мм;;;шт;147,9;2,000;295,80;;;;;2,000;295,80
79;02706      ;;;Сверло 9 мм;;;шт;114,5;2,000;229,00;;;;;2,000;229,00
80;33976      ;;;Сверло по бетону;;;упак;80,28;2,000;160,56;;;;;2,000;160,56
81;26867      ;;;Сверло по металлу;;;шт;174,64;2,000;349,28;;;;;2,000;349,28
82;08783      ;;;Сверло Ф 2,5;;;шт;26;4,000;104,00;;;;;4,000;104,00
83;06750      ;;;Сверло Ф12;;;шт;217,42;3,000;652,26;;;;;3,000;652,26
84;06778      ;;;Сверло Ф14мм;;;шт;119,29;2,000;238,58;;;;;2,000;238,58
85;18186      ;;;Сверло Ф16;;;шт;450;1,000;450,00;;;;;1,000;450,00
86;05692      ;;;Сверло Ф3;;;шт;18,16;2,000;36,32;;;;;2,000;36,32
87;02362      ;;;Стол;;;шт;;1,000;;;;;;1,000;
88;02363      ;;;Стол 1тумбовый письменный;;;шт;;1,000;;;;;;1,000;
89;02372      ;;;Стол для компьютера;;;шт;;1,000;;;;;;1,000;
90;02375      ;;;Стол офисный;;;шт;3 660;1,000;3 660,00;;;;;1,000;3 660,00
91;32454      ;;;Съемник гидравлический;;;шт;35 379,51;1,000;35 379,51;;;;;1,000;35 379,51
92;15606      ;;;Телефон TEXET;;;шт;540,84;1,000;540,84;;;;;1,000;540,84
93;06562      ;;;Тиски слесарные;;;шт;10 452,7;1,000;10 452,70;;;;;1,000;10 452,70
94;43259      ;;;Токоприемник ТБ-2/2-6-200-0-54;;;шт;74 100;1,000;74 100,00;;;;;1,000;74 100,00
95;21515      ;;;Уголок  ;;;шт;97,64;4,000;390,56;;;;;4,000;390,56
