;;;;;;;;;;;;;;;;
Материальный отчёт;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Параметры:;;;Начало периода: 01.05.2024;;;;;;;;;;;;;
;;;Конец периода: 08.05.2024;;;;;;;;;;;;;
;;;СКЛАД: Правовая служба;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Склад;;;;;;;;;Кол-во начальный остаток;Стоимость начальный остаток;Кол-во приход;Стоимость приход;Кол-во расход;Стоимость расход;Кол-во конечный остаток;Стоимость конечный остаток
№;Код;;;Номенклатура;;;Ед. измерения;Цена;;;;;;;;
Итого;;;;;;;;;785,000;198 644,59;;;;;785,000;198 644,59
Правовая служба;;;;;;;;;785,000;198 644,59;;;;;785,000;198 644,59
1;02010      ;;;Аппарат телефонный;;;шт;;1,000;;;;;;1,000;
2;32761      ;;;Блок системный Equal business ;;;шт;29 583,33;1,000;29 583,33;;;;;1,000;29 583,33
3;16989      ;;;Гель для увл.пальцев;;;шт;61,63;1,000;61,63;;;;;1,000;61,63
4;02589      ;;;Дырокол;;;шт;426,89;1,000;426,89;;;;;1,000;426,89
5;23376      ;;;Закладки самокл;;;шт;41,06;3,000;123,18;;;;;3,000;123,18
6;30266      ;;;Игла  большая;;;шт;18,61;2,000;37,22;;;;;2,000;37,22
7;29922      ;;;Карандаш чернографитный с ласт.;;;шт;10,31;2,000;20,62;;;;;2,000;20,62
8;02639      ;;;Клей  карандаш;;;шт;43,59;2,000;87,18;;;;;2,000;87,18
9;32312      ;;;Компьютер С530790Ц-NORBEL;;;шт;19 480,83;1,000;19 480,83;;;;;1,000;19 480,83
10;02255      ;;;Кресло;;;шт;;2,000;;;;;;2,000;
11;10322      ;;;Кресло офисное;;;шт;6 467,58;2,000;12 935,16;;;;;2,000;12 935,16
12;02282      ;;;Монитор;;;шт;4 297,7;1,000;4 297,70;;;;;1,000;4 297,70
13;42912      ;;;МФУ лазерный HP Jet Pro  М228 fdn;;;шт;43 333,33;1,000;43 333,33;;;;;1,000;43 333,33
14;31509      ;;;МФУ лазерный Jet Pro  М132 fn;;;шт;12 093,89;1,000;12 093,89;;;;;1,000;12 093,89
15;32313      ;;;Мышь CBR CM проводная;;;шт;65;1,000;65,00;;;;;1,000;65,00
16;06559      ;;;Нить прошивная;;;шт;115,69;1,000;115,69;;;;;1,000;115,69
17;04681      ;;;Ножницы;;;шт;80,08;1,000;80,08;;;;;1,000;80,08
18;02713      ;;;Ножницы  канцелярские ;;;шт;106,74;1,000;106,74;;;;;1,000;106,74
19;32491      ;;;Ноутбук "Аsus"Х505ZA-BQ035T;;;шт;33 833,33;1,000;33 833,33;;;;;1,000;33 833,33
20;02742      ;;;Папка  скоросшиватель;;;шт;17,9;35,000;626,50;;;;;35,000;626,50
21;02744      ;;;Папка  файл;;;шт;151,79;2,000;303,58;;;;;2,000;303,58
22;21781      ;;;Папка-регистратор;;;шт;131,71;100,000;13 171,00;;;;;100,000;13 171,00
23;04694      ;;;Папка-уголок;;;шт;10,14;110,000;1 115,40;;;;;110,000;1 115,40
24;32314      ;;;Сканер HP ScanJet Pro;;;шт;16 866,67;1,000;16 866,67;;;;;1,000;16 866,67
25;14195      ;;;Скотч;;;шт;43,88;1,000;43,88;;;;;1,000;43,88
26;02363      ;;;Стол 1тумбовый письменный;;;шт;;3,000;;;;;;3,000;
27;02372      ;;;Стол для компьютера;;;шт;;2,000;;;;;;2,000;
28;02532      ;;;Стул п/м;;;шт;;3,000;;;;;;3,000;
29;22200      ;;;Файл А4;;;шт;1,49;500,000;745,00;;;;;500,000;745,00
30;02727      ;;;Шкаф;;;шт;9 090,76;1,000;9 090,76;;;;;1,000;9 090,76
31;02743      ;;;Шкаф для одежды;;;шт;;1,000;;;;;;1,000;
Итого;;;;;;;;;785,000;198 644,59;;;;;785,000;198 644,59
